time (min);bPAC;bPAC;bPAC;mNphp3(201)-bPAC;mNphp3(201)-bPAC;mNphp3(201)-bPAC;mCherry;mCherry;mCherry;Note: This dataset was retrieved from https://doi.org/10.6084/m9.figshare.11417325.v1, which is licensed under CC-BY-4.0. For more information please visit this link!
0;0,002;-0,031;0,000;0,008;-0,004;-0,014;0,026;0,016;0,011;
0,1666667;-0,001;-0,034;0,000;0,007;-0,011;0,018;-0,013;0,007;-0,017;
0,3333333;0,002;-0,035;-0,003;0,004;-0,017;0,005;0,012;-0,014;0,021;
0,5;-0,002;-0,036;-0,001;-0,002;-0,016;0,002;0,035;0,006;0,019;
0,6666667;0,002;-0,033;-0,001;0,008;-0,014;-0,022;0,015;0,000;-0,014;
0,8333333;0,001;-0,036;0,001;-0,010;-0,004;0,023;-0,045;-0,005;0,002;
1;0,002;-0,035;0,001;-0,004;-0,006;-0,010;0,003;-0,009;-0,016;
1,166667;0,000;-0,035;-0,001;0,012;-0,011;0,006;0,002;0,001;0,001;
1,333333;-0,002;-0,037;0,000;0,001;-0,008;0,000;0,005;-0,014;0,049;
1,5;-0,001;-0,035;-0,004;0,002;-0,019;0,020;-0,021;0,008;0,007;
1,666667;-0,001;-0,034;0,001;-0,006;-0,022;0,004;-0,010;-0,009;-0,001;
1,833333;0,001;-0,036;-0,001;-0,001;-0,016;-0,008;-0,004;0,012;-0,033;
2;0,000;-0,035;-0,001;-0,014;-0,008;0,004;-0,012;0,003;-0,008;
2,166667;0,001;-0,034;-0,001;0,002;-0,016;-0,015;0,009;0,009;-0,041;
2,333333;-0,002;-0,038;0,003;-0,003;-0,013;-0,016;0,000;0,006;0,021;
2,5;0,001;-0,036;-0,003;-0,006;-0,005;-0,007;-0,008;-0,011;0,028;
2,666667;-0,001;-0,037;0,002;-0,006;-0,024;0,011;-0,022;-0,004;0,000;
2,833333;-0,002;-0,037;0,006;0,018;-0,022;-0,002;0,015;0,004;-0,028;
3;0,000;-0,035;0,000;-0,011;-0,018;0,002;0,015;0,000;0,002;
3,35;0,856;-0,035;1,106;0,368;-0,025;0,428;0,053;-0,001;0,044;
3,516667;0,905;0,704;1,146;0,497;0,281;0,539;0,030;-0,005;0,040;
3,683333;0,924;0,719;1,149;0,597;0,378;0,682;0,007;0,007;-0,012;
3,85;0,944;0,733;1,168;0,659;0,447;0,749;0,024;-0,014;0,017;
4,016667;0,953;0,743;1,180;0,680;0,496;0,791;0,010;0,004;0,027;
4,183333;0,961;0,763;1,182;0,720;0,552;0,807;0,034;0,013;-0,014;
